12/16/2023 18:35,food,Panipoori,expense,20
12/16/2023 13:38,food,Lunch,expense,30
12/16/2023 10:42,food,Milk with bharath,expense,110
12/14/2023 23:54,food,Lunch,expense,40
12/14/2023 21:21,food,Snacks,expense,75
12/14/2023 21:03,food,Panipoori,expense,80
12/14/2023 15:18,food,Snacks,expense,74
12/14/2023 10:33,food,Milk with bharath,expense,65
12/12/2023 21:47,food,Milk with bharath,expense,25
12/11/2023 9:22,Allowance,From dad,income,1000
12/11/2023 8:20,other,From stu,income,240
12/10/2023 21:38,food,Shopping,expense,241
12/10/2023 20:55,food,Momos,expense,195
12/9/2023 20:03,food,Snack with bharath,expense,40
12/9/2023 14:01,food,Lunch with company,expense,280
12/9/2023 9:56,food,Milk with bharath,expense,25
12/9/2023 8:47,food,Breakfast with stu,expense,110
12/8/2023 14:15,food,Lunch with stu,expense,100
12/8/2023 14:15,food,5 star,expense,15
12/8/2023 7:17,food,Milk,expense,10
12/7/2023 9:54,food,Milk with bharath,expense,25
12/7/2023 7:59,food,Horlicks,expense,15
12/6/2023 21:59,food,Milk with bharath,expense,25
12/6/2023 20:07,Apparel,Shoe,expense,500
12/6/2023 19:57,Apparel,Cap,expense,140
12/6/2023 14:08,food,Lunch with stu,expense,150
12/5/2023 19:45,food,Milk with bharath,expense,25
12/5/2023 18:41,Apparel,Full hand and a hoodie,expense,1800
12/5/2023 12:23,household,Rent,expense,4800
12/5/2023 12:23,Allowance,From dad,income,8000
12/4/2023 21:05,food,Dinner,expense,324
12/4/2023 20:20,food,Snack,expense,65
12/4/2023 13:54,other,For company,expense,30
12/4/2023 10:13,food,Breakfast,expense,200
12/3/2023 21:59,food,Milk with bharath,expense,25
12/3/2023 21:59,Apparel,Belt,expense,130
12/3/2023 21:28,Apparel,Mask,expense,20
12/3/2023 21:28,food,Snack,expense,40
12/3/2023 21:28,Allowance,From dad,income,1000
12/2/2023 20:07,food,Ice cream,expense,504
12/2/2023 19:48,food,Vadapaav,expense,75
12/1/2023 19:57,Beauty,Showergel,expense,196
12/1/2023 14:00,food,Lunch with company,expense,160
11/30/2023 14:24,Gift,Bharath birthday,expense,115
11/30/2023 14:17,food,Lunch with company,expense,128
11/30/2023 10:11,food,Breakfast,expense,70
11/29/2023 20:47,food,Lunch with company,expense,40
11/29/2023 20:47,food,Dinner,expense,50
11/29/2023 20:09,food,Panipoori,expense,40
11/29/2023 9:29,food,Breakfast,expense,40
11/28/2023 19:59,food,Snack,expense,94
11/28/2023 13:10,food,Zomato,expense,269.4
11/27/2023 23:14,food,Dinner with gowdham,expense,120
11/27/2023 22:34,food,Dinner with gowdham,expense,130
11/27/2023 18:41,transportation,Rapido,expense,35
11/27/2023 13:46,food,Lunch with company,expense,75
11/27/2023 13:46,Allowance,From dad,income,2000
11/27/2023 9:33,food,Breakfast,expense,30
11/26/2023 21:56,food,Beer,expense,150
11/26/2023 20:57,food,Snack,expense,102
11/26/2023 20:15,food,Panipoori,expense,40
11/26/2023 14:14,Petty cash,Cashback,income,3
11/26/2023 14:14,food,Lunch with company,expense,150
11/26/2023 9:22,food,Breakfast,expense,60
11/25/2023 20:27,food,Lunch with company,expense,145
11/25/2023 20:27,transportation,Rapido,expense,58
11/25/2023 20:27,food,Dinner,expense,95
11/24/2023 19:26,food,Snack,expense,15
11/24/2023 19:23,food,Dinner,expense,70
11/24/2023 19:06,food,Panipoori,expense,20
11/24/2023 19:06,transportation,Rapido,expense,58
11/23/2023 22:53,transportation,Rapido,expense,50
11/23/2023 22:53,food,Dinner,expense,179
11/22/2023 14:16,food,Dinner,expense,90
11/22/2023 14:16,food,Lunch with company,expense,97
11/21/2023 17:07,transportation,Rapido,expense,130
11/21/2023 15:50,food,Lunch,expense,875
11/21/2023 13:30,other,Got from gobi,income,2000
